ID,Branch Name,Tier,2017,2016,2015,2014,2013,2012,2011,2010
WP,Woodview Park,NL,506,480,426,495,647,515,467,560
WY,Wychwood,NL,1101,1164,1032,943,1000,845,958,1188
YW,York Woods,DL,2952,2379,2452,2874,2280,3008,3522,3504
YO,Yorkville,NL,1215,1003,1012,1011,1052,1042,1162,966
TRL,Toronto Reference Library,RR,13511,13403,11617,11308,9618,8682,9302,9554
UA,Urban Affairs,RR,,,,,,0,519,704
MC,Merril Collection,RR,0,0,1,0,0,1,0,0
OC,Osborne Collection,RR,0,0,0,0,0,0,0,0
IL,Interloan,RR,0,0,0,0,0,0,0,0
AL,Answerline,RR,1,1,1,1,1,1,1,0
NYCL,North York Central Library,RR,4960,12204,13064,12262,11924,10291,10824,11646
BO,Bookmobile One,CWS,84,79,139,279,176,143,184,140
BT,Bookmobile Two,CWS,35,24,16,35,125,110,138,150
HLS,Home Library Service,CWS,218,283,245,220,170,143,196,199
ALD,Adult Literacy Department,CWS,2,0,1,0,1,,,
SH,Sunnybrook Hospital,CWS,133,125,107,118,117,157,145,151
DS,Departmental Staff,OT,41,22,10,7,20,70,470,830
