ID,Branch Name,Tier,2017,2016,2015,2014,2013,2012,2011,2010
PL,Parliament Street,NL,66422.5,69344,68269,68339,69688,60005,60628,59666
PE,Perth Dupont,NL,8425,7862.5,8112.5,10062.5,9637.5,10329,10800,7550
PV,Pleasant View,NL,17592.5,22362.5,22487.5,22737.5,41325,25879,22787.5,25400
PU,Port Union,NL,12475,16612.5,16450,18087.5,16875,15437.5,15687.5,17237.5
QS,Queen Saulter,NL,10862.5,11850,11100,11150,11862.5,12242.5,13262.5,21762.5
RX,Rexdale,NL,17962.5,19550,20062.5,18875,18937.5,20822,19762.5,19612.5
RI,Richview,DL,82853,107685,113426,120461,118823,131920.5,118320.5,128481
RD,Riverdale,NL,71812.5,70700,73775,74887.5,73787.5,73429,72937.5,60079.25
RN,Runnymede,NL,38557,63362.5,65662.5,68212.5,67212.5,69639.5,69366,66046
SWS,S. Walter Stewart,DL,119109,114635,138960,137354,147925,129467.5,113952,105861
SA,Sanderson,NL,66512.5,62700,67425,66100,69387.5,67645,64850,55712.5
SC,Scarborough Civic Centre,NL,63473.5,52375,27325,0,,,,
SP,Spadina Road,NL,13775,13987.5,14812.5,13241.5,11244.5,11708.5,11075,13225
SI,St. Clair Silverthorn,NL,9486.5,13837.5,13925,14225,14225,15156,16900,16937.5
SJ,St. James Town,NL,58200,56575,57375,65037.5,62200,64005.5,65100,63262.5
SL,St. Lawrence,NL,23887.5,23778.5,22051,25687.5,26075,23702,24712.5,23912.5
ST,Steeles,NL,31162.5,34700,34800,27962.5,37837.5,37604,35125,34237.5
SW,Swansea Memorial,NL,5525,2125,2600,2487.5,2575,2758.5,2862.5,2937.5
TA,Taylor Memorial,NL,13329,14737.5,18587.5,14925,15425,13880.5,13137.5,14975
TH,Thorncliffe,NL,71175,76875,79150,89775,88100,80657,85923,62393.5
TOD,Todmorden Room,NL,4375,4262.5,5437.5,6225,3300,2819.5,4275,2527.5
VV,Victoria Village,NL,12050,12637.5,12950,14637.5,13675,14771.5,14575,17362.5
WE,Weston,NL,37812.5,41187.5,46262.5,40362.5,37487.5,40116.5,42375,42712.5
WS,Woodside Square,NL,97262.5,101650,106962.5,104775,114087.5,105207,111212.5,115450
WP,Woodview Park,NL,23937.5,24762.5,21425,19200,16737.5,19628.5,23612.5,23200
WY,Wychwood,NL,36462.5,36875,37262.5,37747,43200,44020,41687.5,41125
YW,York Woods,DL,157820.5,172466.5,193859.5,185228,176806,172783,177574.5,165784
YO,Yorkville,NL,29237.5,29425,32312.5,32850,32475,32464,32937.5,28977
TRL,Toronto Reference Library,RR,867212,917498,901257.5,776844,818493.5,727822,853049.5,815539
NYCL,North York Central,RR,0,433079,477283,496202,545403,484789,453951,464271
SH,Sunnybrook Hospital,CWS,462.5,550,475,400,537.5,630.5,650,487.5
